user_id,early_plays,early_unique_artists,early_unique_tracks,late_plays,late_unique_artists,late_unique_tracks,play_change,artist_change,track_change,Drift_Score,Drift_Class,raw_drift,Cluster,Drift_Label
user_000001,4641,330,1199,12044,435,2273,1.59478672985782,0.31722054380664655,0.895,0.00011225524353003799,High,1.001580855085122,1,0
user_000002,42172,889,5210,15266,756,4859,-0.6379911317667702,-0.149438202247191,-0.06735751295336788,3.342333121595032e-05,Low,0.3202351672668758,0,1
user_000003,12450,698,3482,7044,646,2748,-0.4341819934141836,-0.07439198855507868,-0.21073786965259833,2.6362903030231805e-05,Low,0.25921175482797654,1,1
user_000004,10837,1027,3806,7574,1057,2785,-0.30107030817494,0.029182879377431907,-0.26819017599159445,2.0627439878630612e-05,Low,0.20964003988068391,1,1
user_000005,16384,832,1522,3957,598,1228,-0.7584375953616113,-0.2809123649459784,-0.19304005252790546,4.7923542460661184e-05,Medium,0.44556076338680967,1,2
user_000006,23526,1393,6434,5495,650,2383,-0.7663960555956986,-0.5329985652797704,-0.6295260295260295,7.219226684385188e-05,Medium,0.6553158006800195,1,2
user_000011,14923,528,6345,2248,147,1507,-0.8493031358885017,-0.720226843100189,-0.7623699968484084,8.713895514701669e-05,High,0.7845003063399799,1,0
user_000012,48951,1818,8738,26925,1887,7902,-0.44995097238110804,0.03793293018141836,-0.09566311935004006,2.1832940452121168e-05,Low,0.22005920381188074,0,1
user_000016,16250,990,4943,5922,1026,3407,-0.6355301212233093,0.03632694248234107,-0.3106796116504854,3.782906595213315e-05,Low,0.3583140147291717,1,1
user_000017,4431,1491,3689,15215,2031,8943,2.4332129963898916,0.36193029490616624,1.4238482384823847,0.0001709659700052514,High,1.5090187585725219,1,0
user_000018,11713,164,1130,1,1,1,-0.9998292641283933,-0.9878787878787879,-0.9982316534040672,0.00011158232851169407,High,0.9957648380362139,1,0
user_000019,25832,786,2899,1694,264,824,-0.9343862501451632,-0.6632782719186785,-0.7155172413793104,8.74736585448535e-05,High,0.7873931540474619,0,0
user_000021,45795,674,7951,24651,458,6328,-0.4616997117652197,-0.32,-0.20409959758551308,3.593108893456279e-05,Low,0.3419097639817418,0,1
user_000022,29455,828,3111,22019,1551,3545,-0.2524443237370994,0.8721351025331725,0.13946015424164523,4.316774375700427e-05,Medium,0.40445630652728504,0,2
user_000023,7820,129,1029,34190,197,1713,3.3716915995397008,0.5230769230769231,0.6640776699029126,0.00019362058492835166,High,1.7048230177098311,2,0
user_000024,15541,1411,8472,3655,739,2564,-0.7647664393256981,-0.47592067988668557,-0.6972736929068807,7.2487197005816e-05,Medium,0.657864887568349,1,2
user_000025,30609,1886,10021,8473,770,2819,-0.7231623652401176,-0.5914149443561209,-0.7186190381161445,7.531147105598003e-05,High,0.6822751408377266,0,0
user_000026,29927,489,3351,15381,328,2115,-0.48603314621758886,-0.32857142857142857,-0.36873508353221957,4.306927186375965e-05,Medium,0.40360521211813,0,2
user_000028,12781,561,6124,503,114,432,-0.9605695509309967,-0.7953736654804271,-0.9293061224489796,0.00010069110113271786,High,0.9016317567512208,1,0
user_000029,29008,999,5085,12822,1079,5250,-0.5579647695542762,0.08,0.03244199764058199,2.6097573541920782e-05,Low,0.2569185071138851,0,1
user_000031,26707,3134,13795,9608,3004,6754,-0.6402201587539315,-0.04146730462519936,-0.5103653232821107,4.515565400636889e-05,Medium,0.42163785187376557,0,2
user_000032,8108,377,1297,5968,89,439,-0.26390430385990876,-0.7619047619047619,-0.6610169491525424,5.797529348188753e-05,Medium,0.5324382348611547,1,2
user_000033,79922,666,4911,16514,330,3110,-0.7933636124770092,-0.5037481259370314,-0.36665309446254074,6.330069866138007e-05,Medium,0.5784658111106754,3,2
